id,datasetKey,species,x,y,accuracy,year,institution,source
910370370,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-79.5661,35.1412,402,2014,NCSM,gbif
895452343,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-79.5532,35.0691,402,2012,NCSM,gbif
895445323,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-74.4876,40.7169,1609,1980,NCSM,gbif
895444607,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-74.4657,40.717,4023,1981,NCSM,gbif
895444186,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-74.4741,40.7118,4023,1981,NCSM,gbif
895443977,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-76.9077,37.3206,1609,1991,NCSM,gbif
895443758,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-77.2666,37.4054,402,1981,NCSM,gbif
895443745,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-77.426,37.6188,805,2000,NCSM,gbif
895443739,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-78.6365,37.3962,805,1980,NCSM,gbif
895443735,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-80.5667,37.1353,402,1980,NCSM,gbif
895443704,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-77.2966,36.6287,402,1980,NCSM,gbif
895443659,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-80.5276,37.2085,1609,1980,NCSM,gbif
895443609,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-77.5941,37.6483,4828,1982,NCSM,gbif
895442874,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-83.2307,34.8594,805,2000,NCSM,gbif
895442162,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-75.1363,38.5692,1609,1993,NCSM,gbif
895441913,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-79.4721,35.1105,805,2004,NCSM,gbif
895440265,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-82.5631,35.487,402,2002,NCSM,gbif
895439709,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-79.5734,35.3988,402,2001,NCSM,gbif
895439097,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-77.9981,35.502,402,2001,NCSM,gbif
895438287,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-74.5697,39.508,4828,1991,NCSM,gbif
895438101,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-75.4872,38.5133,1609,1984,NCSM,gbif
895437974,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-74.4946,39.5161,1609,1994,NCSM,gbif
895437648,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-80.0926,35.7586,402,2000,NCSM,gbif
895437533,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-79.8201,35.3548,402,2000,NCSM,gbif
895437322,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-83.6245,35.0945,4023,1999,NCSM,gbif
895436939,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-78.888,36.3163,201,1999,NCSM,gbif
895436238,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-78.2155,34.5281,1609,1998,NCSM,gbif
895427952,d5fafa95-7de2-48c0-bf10-3480bcca4a2b,Pseudacris crucifer,-76.4788,36.0625,402,1988,NCSM,gbif
786571667,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.11,37.9,669,1983,CM,gbif
786555339,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.78,37.42,1936,1986,CM,gbif
786552193,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.01,36.9,2977,1990,CM,gbif
786552018,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.1,36.67,3019,1989,CM,gbif
786550543,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.01,36.9,2977,1989,CM,gbif
786546488,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.03,36.9,768,1989,CM,gbif
786546436,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.05,36.91,874,1983,CM,gbif
786541086,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-79.06,38.65,1629,1987,CM,gbif
786540077,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-79.35,38.3,2037,1986,CM,gbif
786539726,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.61,37.28,2968,1989,CM,gbif
786539638,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.32,36.67,4361,1987,CM,gbif
786539635,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.17,36.94,589,1987,CM,gbif
786539007,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.5,37.88,1300,1987,CM,gbif
786538908,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.11,36.86,669,1988,CM,gbif
786537179,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.74,37.04,3327,1988,CM,gbif
786536932,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.89,37.12,348,1988,CM,gbif
786536908,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.3,37.72,177,1988,CM,gbif
786536717,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-78.99,37.97,1738,1988,CM,gbif
786536589,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.29,37.67,129,1988,CM,gbif
786536481,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-78.29,36.61,2247,1988,CM,gbif
786536153,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.53,37.17,74,1988,CM,gbif
786536147,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.49,37.17,2243,1988,CM,gbif
786535989,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.41,38.57,605,1988,CM,gbif
786535852,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.13,36.95,348,1988,CM,gbif
786534585,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-82.62,36.88,1318,1987,CM,gbif
786533396,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.66,36.66,4823,1987,CM,gbif
786533280,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.1,36.92,187,1987,CM,gbif
786533150,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.05,36.92,348,1987,CM,gbif
786533038,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.52,36.64,838,1987,CM,gbif
786531918,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-82.2,37.29,354,1986,CM,gbif
786531912,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-82.21,37.28,1642,1986,CM,gbif
786529382,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.39,37.47,2409,1986,CM,gbif
786529115,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-75.77,37.59,97,1986,CM,gbif
786524422,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-78.02,37.67,692,1987,CM,gbif
786524378,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.83,37.67,563,1987,CM,gbif
786524139,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.83,37.67,563,1986,CM,gbif
786523207,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.52,37.4,1360,1981,CM,gbif
786523195,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.73,37.68,2025,1981,CM,gbif
786522504,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.69,37.47,2955,1986,CM,gbif
786522496,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-78.19,38.01,282,1982,CM,gbif
786522491,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.52,37.95,499,1981,CM,gbif
786522177,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-77.49,37.43,1786,1981,CM,gbif
786517638,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-78.91,38.56,4509,1987,CM,gbif
786514666,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.75,36.67,34,1984,CM,gbif
786513057,76dd8f0d-2daa-4a69-9fcd-55e04230334a,Pseudacris crucifer,-76.67,37.24,4015,1985,CM,gbif
